customer_id,Recency,Frequency,Monetary,R_score,F_score,M_score,Segment
1000,10,10,2799.3,4,3,4,Potential Loyalists
1001,1,10,2061.09,5,3,2,Potential Loyalists
1002,28,9,3211.9,3,2,4,About to Sleep
1003,19,9,1749.8,3,2,1,About to Sleep
1004,5,10,2215.63,5,3,2,Potential Loyalists
1005,76,4,1186.7,1,1,1,Hibernating
1006,15,7,2150.92,3,1,2,About to Sleep
1007,42,12,3374.05,2,4,5,At Risk
1008,4,9,2400.9300000000003,5,2,3,Potential Loyalists
1009,4,7,2402.99,5,1,3,New Customers
1010,17,7,2518.9700000000003,3,1,3,About to Sleep
1011,57,5,1305.8600000000001,2,1,1,Hibernating
1012,5,14,2939.99,5,5,4,Champions
1013,18,12,3283.67,3,4,4,Loyal Customers
1014,16,15,5171.23,3,5,5,Loyal Customers
1015,4,9,1408.44,5,2,1,Potential Loyalists
1016,5,13,3462.57,5,4,5,Champions
1017,12,8,2263.44,4,2,2,Potential Loyalists
1018,40,10,3089.79,2,3,4,At Risk
1019,3,14,4833.41,5,5,5,Champions
1020,14,11,3285.67,4,3,4,Potential Loyalists
1021,29,10,2117.09,3,3,2,Need Attention
1022,71,7,2048.93,1,1,2,Hibernating
1023,34,10,2679.84,2,3,3,At Risk
1024,14,7,1601.84,4,1,1,Promising
1025,1,8,1028.04,5,2,1,Potential Loyalists
1026,37,8,2325.84,2,2,3,Hibernating
1027,1,8,2737.2200000000003,5,2,3,Potential Loyalists
1028,141,7,1400.94,1,1,1,Hibernating
1029,12,21,5069.85,4,5,5,Loyal Customers
1030,27,15,3906.1,3,5,5,Loyal Customers
1031,4,14,2674.02,5,5,3,Champions
1032,50,11,2835.42,2,3,4,At Risk
1033,6,11,2015.8600000000001,4,3,2,Potential Loyalists
1034,10,7,2121.82,4,1,2,Promising
1035,15,14,2601.04,3,5,3,Loyal Customers
1036,63,5,1746.48,1,1,1,Hibernating
1037,17,13,3340.0,3,4,4,Loyal Customers
1038,5,11,2882.84,5,3,4,Potential Loyalists
1039,22,14,4138.27,3,5,5,Loyal Customers
1040,5,6,1558.02,5,1,1,New Customers
1041,1,9,2396.36,5,2,3,Potential Loyalists
1042,114,9,2900.3199999999997,1,2,4,Hibernating
1043,9,10,2151.94,4,3,2,Potential Loyalists
1044,17,12,2912.51,3,4,4,Loyal Customers
1045,13,8,1758.06,4,2,1,Potential Loyalists
1046,10,11,2756.25,4,3,3,Potential Loyalists
1047,38,6,1237.8600000000001,2,1,1,Hibernating
1048,14,8,2141.48,4,2,2,Potential Loyalists
1049,60,16,4408.09,2,5,5,Cannot Lose Them
1050,3,9,3338.29,5,2,4,Potential Loyalists
1051,1,15,3477.7200000000003,5,5,5,Champions
1052,3,13,3445.2599999999998,5,4,5,Champions
1053,2,8,2017.1100000000001,5,2,2,Potential Loyalists
1054,3,18,4644.38,5,5,5,Champions
1055,17,12,3527.3199999999997,3,4,5,Loyal Customers
1056,4,6,1290.45,5,1,1,New Customers
1057,13,11,2485.69,4,3,3,Potential Loyalists
1058,52,9,1898.83,2,2,2,Hibernating
1059,22,12,3169.95,3,4,4,Loyal Customers
1060,96,8,2030.49,1,2,2,Hibernating
1061,159,9,2839.92,1,2,4,Hibernating
1062,40,10,2406.43,2,3,3,At Risk
1063,78,10,3234.02,1,3,4,At Risk
1064,15,13,3092.4,3,4,4,Loyal Customers
1065,30,14,3905.11,2,5,5,Cannot Lose Them
